scenario_id,group_id,layout,partner,sticky_action_prob,random_action_prob,seeds,soups,mean_soups,total_soups,mean_score,pass_rule,passed,base_points_if_passed
1,1,asymmetric_advantages,greedy_full_task,0.0,0.0,67|68|69,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,2,asymmetric_advantages,greedy_full_task,0.0,0.0,70|71|72,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,3,asymmetric_advantages,greedy_full_task,0.0,0.0,73|74|75,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,4,asymmetric_advantages,greedy_full_task,0.0,0.0,76|77|78,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,5,asymmetric_advantages,greedy_full_task,0.0,0.0,79|80|81,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,6,asymmetric_advantages,greedy_full_task,0.0,0.0,82|83|84,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,7,asymmetric_advantages,greedy_full_task,0.0,0.0,85|86|87,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,8,asymmetric_advantages,greedy_full_task,0.0,0.0,88|89|90,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,9,asymmetric_advantages,greedy_full_task,0.0,0.0,91|92|93,1|1|1,1.0,3.0,12211.0,any_soup,True,6
1,10,asymmetric_advantages,greedy_full_task,0.0,0.0,94|95|96,1|1|1,1.0,3.0,12211.0,any_soup,True,6
2,1,coordination_ring,greedy_full_task,0.1,0.0,67|68|69,3|6|8,5.666666666666667,17.0,57453.666666666664,mean_ge_2,True,9
2,2,coordination_ring,greedy_full_task,0.1,0.0,70|71|72,6|5|6,5.666666666666667,17.0,57442.0,mean_ge_2,True,9
2,3,coordination_ring,greedy_full_task,0.1,0.0,73|74|75,3|8|4,5.0,15.0,51008.666666666664,mean_ge_2,True,9
2,4,coordination_ring,greedy_full_task,0.1,0.0,76|77|78,8|3|1,4.0,12.0,41184.666666666664,mean_ge_2,True,9
2,5,coordination_ring,greedy_full_task,0.1,0.0,79|80|81,8|0|0,2.6666666666666665,8.0,26738.666666666668,mean_ge_2,True,9
2,6,coordination_ring,greedy_full_task,0.1,0.0,82|83|84,0|6|6,4.0,12.0,40478.0,mean_ge_2,True,9
2,7,coordination_ring,greedy_full_task,0.1,0.0,85|86|87,6|6|8,6.666666666666667,20.0,67240.33333333333,mean_ge_2,True,9
2,8,coordination_ring,greedy_full_task,0.1,0.0,88|89|90,3|7|7,5.666666666666667,17.0,57277.333333333336,mean_ge_2,True,9
2,9,coordination_ring,greedy_full_task,0.1,0.0,91|92|93,7|3|7,5.666666666666667,17.0,57346.666666666664,mean_ge_2,True,9
2,10,coordination_ring,greedy_full_task,0.1,0.0,94|95|96,2|4|6,4.0,12.0,41199.0,mean_ge_2,True,9
3,1,counter_circuit,greedy_full_task,0.1,0.15,67|68|69,10|5|4,6.333333333333333,19.0,63865.0,mean_ge_2,True,11
3,2,counter_circuit,greedy_full_task,0.1,0.15,70|71|72,4|4|4,4.0,12.0,40497.666666666664,mean_ge_2,True,11
3,3,counter_circuit,greedy_full_task,0.1,0.15,73|74|75,7|7|4,6.0,18.0,60428.333333333336,mean_ge_2,True,11
3,4,counter_circuit,greedy_full_task,0.1,0.15,76|77|78,4|7|4,5.0,15.0,50502.0,mean_ge_2,True,11
3,5,counter_circuit,greedy_full_task,0.1,0.15,79|80|81,7|10|10,9.0,27.0,90360.33333333333,mean_ge_2,True,11
3,6,counter_circuit,greedy_full_task,0.1,0.15,82|83|84,2|0|4,2.0,6.0,20642.0,mean_ge_2,True,11
3,7,counter_circuit,greedy_full_task,0.1,0.15,85|86|87,7|5|5,5.666666666666667,17.0,57412.666666666664,mean_ge_2,True,11
3,8,counter_circuit,greedy_full_task,0.1,0.15,88|89|90,5|10|0,5.0,15.0,50427.333333333336,mean_ge_2,True,11
3,9,counter_circuit,greedy_full_task,0.1,0.15,91|92|93,6|7|5,6.0,18.0,60500.333333333336,mean_ge_2,True,11
3,10,counter_circuit,greedy_full_task,0.1,0.15,94|95|96,7|7|0,4.666666666666667,14.0,46856.666666666664,mean_ge_2,True,11
