policy,layout,partner,num_rollouts,attempts,p_at_least_1_soup,p_group_mean_ge_1,p_group_mean_ge_2,p_group_mean_ge_3,mean_soups,median_soups,p10_soups,official_score_mean,official_score_p10,zero_rate,role0_mean_soups,role1_mean_soups,worst_role_mean_soups,output_dir
adaptive_competition_shortppo,cramped_room,greedy_full_task,6,6.0,1.0,1.0,1.0,1.0,6.166666666666667,6.0,6.0,62114.333333333336,60448.0,0.0,6.0,6.333333333333333,6.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_cramped_room_greedy_full_task
adaptive_competition_shortppo,cramped_room,greedy_full_task_noise_015,6,6.0,1.0,1.0,1.0,1.0,5.5,6.0,4.5,55462.0,45589.0,0.0,5.333333333333333,5.666666666666667,5.333333333333333,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_cramped_room_greedy_full_task_noise_015
adaptive_competition_shortppo,cramped_room,random_motion,6,6.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,50414.5,50249.0,0.0,5.0,5.0,5.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_cramped_room_random_motion
adaptive_competition_shortppo,cramped_room,stay,6,6.0,0.5,1.0,0.5,0.0,2.1666666666666665,2.0,0.0,21919.0,0.0,0.5,4.333333333333333,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_cramped_room_stay
adaptive_competition_shortppo,coordination_ring,greedy_full_task,6,6.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,80258.0,80258.0,0.0,8.0,8.0,8.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_coordination_ring_greedy_full_task
adaptive_competition_shortppo,coordination_ring,greedy_full_task_noise_015,6,6.0,1.0,1.0,1.0,1.0,5.666666666666667,6.0,5.0,57122.833333333336,50494.0,0.0,6.0,5.333333333333333,5.333333333333333,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_coordination_ring_greedy_full_task_noise_015
adaptive_competition_shortppo,coordination_ring,random_motion,6,6.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,30270.0,30270.0,0.0,3.0,3.0,3.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_coordination_ring_random_motion
adaptive_competition_shortppo,coordination_ring,stay,6,6.0,0.5,1.0,0.5,0.0,2.0,2.0,0.0,20301.5,0.0,0.5,0.0,4.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_coordination_ring_stay
adaptive_competition_shortppo,forced_coordination,greedy_full_task,6,6.0,0.5,1.0,1.0,0.5,3.0,3.0,0.0,30291.5,0.0,0.5,0.0,6.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_forced_coordination_greedy_full_task
adaptive_competition_shortppo,forced_coordination,greedy_full_task_noise_015,6,6.0,0.3333333333333333,1.0,1.0,0.0,2.0,0.0,0.0,20081.666666666668,0.0,0.6666666666666666,0.0,4.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_forced_coordination_greedy_full_task_noise_015
adaptive_competition_shortppo,forced_coordination,random_motion,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_forced_coordination_random_motion
adaptive_competition_shortppo,forced_coordination,stay,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,C:\Users\USER\Desktop\DL_FINAL\dl-overcooked\outputs\competition_protocol\adaptive_competition_shortppo_forced_coordination_stay
